                                                  text  Sentiment
133                              poemsunder started by          1
134  squarespace brighten my bad day i never win an...          0
135  susan boyle didnt win mh well diversity was ve...          0
136                                             twenty          0
137             that is all and believe me it s enough          1
138                                   goooood timessss          1
139                                           graduate          0
140  vandals paint swastikas on home of author of g...          0
141  an unknown error occured uh oh iphone os fail ...          0
142  experts homers predict eagles to go and giants...          0
143  i know you hungry so lets go outside on the ba...          1
144              i want you so bad it s driving me mad          0
145  the men a uk female internet entrepreneur shou...          1
146  the truth is hiding in your eyes paramore deco...          1
147  try to turn on my tv to get you out of my head...          0
148           well the truth is i miss you so coldplay          0
149  tears today is the last day with my kids they ...          0
150                                     unsure annoyed          0
151  via are designed gallery exhibition postcards ...          0
152                                     beautifulylost          0
153  cries i m going to miss harry potter when it c...          0
154  hummin i say shut up put your money where your...          1
155  sigh you cant love someone that doesn t love y...          1
156  going back to bed because i m lookin around an...          0
157  aiqht goodniqht tri neena malcolm chaise jlew ...          1
158  triiiiiii ily even if chaise doesn t d dies of...          1
159                              i wantt hiim soo badd          0
160  watching tv bed shopping w mom out w trent hop...          0
161  had weird encounters with so many homeless cre...          0
162                              rained out truck race          0
163                           why am i feeling worse f          0
164  feeling pain and happiness at the same time ho...          0
165                              hot choco is the best          1
166                    in a shirt and panties celulite          0
167  had to turn back to north due to body on line ...          0
168                            y everything is so hard          0
169                          bueno good bye good night          0
170               beach day with scoobs still no phone          1
171       let s have fun when i give ya what i give ya          0
172                               i don t want to move          0
173  d what an amazing night day night again hi twi...          1
174                        canaveral national seashore          1
175  progressing in the production department with ...          1
176  taylorrhicks enjoy chicago b new venue is alwa...          1
177                              the train crash in dc          0
178                                     thestreetforce          1
179                                     makes me smile          1
180  my first day off in weeks and my child got up ...          1
181  video woody woodpecker the barber of seville i...          1
182  i am happy you are staying around here drexel ...          1
183  what happened to angels and demons and lions a...          0
184            well that sure minimizes the impact lol          0
185  black i call dibs on the voltron arm no the le...          1
186                                  i just saw ur mum          1
187                 and get your fat asses on here nai          1
188  see three external monitors on one laptop win ...          1
189  facebook com copic marker if you re cool or if...          1
190  you want to start the morning later in new yor...          1
191                     lol luv it did any find or c a          1
192               is making fettucini and garlic bread          1
193                             tell i said happy bday          1
194  lussier i went to work once last year with no ...          0
195                    told you you would sweep haha p          1
196                   there r many gr science cartoons          0
197  edinburgh fringe is only weeks away i need mon...          0
198  why didnt you come to school have you done the...          0
199  which one or latter for the us store only ipho...          0
200  magic thinking less than chance hedo stays in ...          0
201            now who wud make this beautiful plc cry          0
202                        it is now the outer fat kid          0
203  the servers are now backup if you experience a...          1
204  yes i am lol j k luv this you are like a gentl...          1
205                se morrea a mi joseph no no se vale          0
206            are my future rooooooooomies nyc holler          1
207             king i hope u have cheese burgers lmbo          1
208                                            awesome          1
209  i am nothing of the kind and everything of the...          1
210  pick up some flowers for the teacher i m jealo...          1
211  think again talvez seja do nfase na cifra mas ...          1
212  why is your youtube account suspended lol sing...          0
213                             i know sold out though          0
214                                    watch e will do          1
215       thanks k here s hoping pretty nervous though          1
216        should get on aim and talk to me i miss her          0
217                                          followers          1
218  i ll tell ya grocery store it was better when ...          1
219  s kashrut convo makes me want to keep more kos...          0
220             isn t home neither is u better have it          0
221  yall bitches better wake up early to go to the...          1
222  i m immune to dentists drills etc now it just ...          0
223                    where r u tonite im still awake          0
224                                    hates bebot app          0
225  congrats bhai but like the oldies in used to s...          1
226                                                NaN          1
227  chilling on twitter via my spanking new blackb...          1
228  so do you give him every inch of your love eve...          1
229                                                NaN          1
230  maybe you can pop a tweet they are quite activ...          1
231  it s a shame all the women in mamma mia are so...          1
232  thanks for letting me know i m going to check ...          1
233                            what are u referring to          0
234                                                NaN          0
235  what s up hey you i m doing ok thx you you too...          1
236                                  happy mothers day          1
237  i knew sharepoint was written by interns i jus...          1
238                         i miss her so much already          0
239                         just practising how i feel          0
240                                 miss my love jamie          0
241                                           fuck you          0
242                  my head feels like a bowling ball          0
243                               my heart hurts badly          0
244  fs keeps crashing when i try to load bungie plane          0
245  my current headset is on its deathbed now my d...          0
246  my mood is currently blah sitting in a parking...          0
247                                         i am happy          1
248                                        that is all          0
249  everyone went home and not everyone was even h...          0
250                                             fed up          0
251                                  fuck fuck fuuuuck          0
252  not feeling it today and to make matters worst...          0
253                                                NaN          0
254  awwwwwh i wanted aiden davis win i him so bumm...          0
255                                       bed time now          0
256               faltam dias para o world drawing day          1
257          friends like these no thanks i m not fake          0
258  haha omg stayin steezy mowin the lawn loviie s...          1
259                    i think my bf is cheating on me          0
260  i wanna play with my camera but i will settle ...          1
261                               i want an octo drive          0
262  i want to display my pretty voltron upside i g...          0
263  i want to find a way to put my photos on phone...          0
264  in an effort to bring you the best content we ...          0
265  is our response to what happened today and tha...          0
266                           j you are right it hurts          0
267                     kinda but not really but kinda          0
268  let s have a moment of silence for our childho...          0
269       lol all these robotpickuplines are hilarious          1
270  man oh man i should punch myself in the head b...          1
271  my friends can get with ur friends and we can ...          1
272  no man is worth your tears and the one that is...          0
273                                  rain rain go away          0
274                                   storms are scary          0
275  such a beautiful satisfying day of bargain sho...          1
276             tell those girls your clocking out lol          0
277             thank god today is friday i love ti ti          1
278  the batt to my internet connection died guess ...          0
279          thrilled about being at work this morning          1
280  we break dance not hearts by short stack is my...          1
281         www apple com iphone now has it for the th          0
282  squarespace trackle no apple iphone card for u...          0
283                                unsure hassle music          0
284                                          exhausted          0
285      i want some ben jerrys cake batter please ugh          0
286                         my life is very lazzzzyyyy          1
287                       wish ella was on or somebody          0
288                       ish in a good mood tlk to me          1
289  i think i m going to go a long drive then when...          0
290                                  what the hell bbc          0
291                                            canucks          0
292                    i dont like this weekend huhuhu          0
293                          i ll get on it right away          0
294                        j a made nice twice for now          1
295                    loves life atm its brilliant xd          1
296                      who else is in a happy mood d          1
297                                       bye everyone          1
298                                       lonely night          0
299                                 blue does not work          0
300                        geez i m feeling their pain          0
301                         i miss my summertime daley          0
302  on the computer ill lol no fuckin goin to port...          0
303                                     so far so good          1
304                              today was a great day          1
305                    ughhhhhhhhhhhhhhhhhhhhhhhhhhhhh          0
306                                       battleground          0
307  a lot a lot a lot a lot a lot a lot a lot a lo...          1
308  awwwwwh i wanted aiden davis win i him so bumm...          0
309         curtain drops at the crown uptown after ye          0
310                  eh must leave new mexico and soon          0
311           fail maths i knew it i was just too slow          0
312  from gongwer oh report sounds like leadership ...          0
313     fuck sake why can things never work out for me          0
314  going in town toda with m cousinnn netball mat...          0
315                         hoping to see my baby girl          0
316                                  i don t even know          0
317                  i just lost a member of my family          0
318                        i m sick of bedtime battles          0
319    i m so cold this morning i have chills all over          0
320                                               just          0
321  no no no tonight goes on the books as the wors...          0
322                                        no shopping          0
323  poor lil mousey just out enjoying the sunny da...          0
324                            that s an epic sad face          0
325  this magazine story just broke my heart at the...          0
326                        tiger woods is up by at via          1
327             wanna go meet wifey but can t this sux          0
328  wondering why i feel like i do i ll feel bette...          0
329  yippeeeee yay lets gather in the hay his love ...          1
330    iranelection no one realizes how deep this goes          0
331   bodies from air france crash have been found via          0
332  that is the story of my life a whole bunch of ...          0
333  i have noooooooooo friends on twitter it makes...          0
334  i just want to hear from you i guess that s as...          0
335  hardest working chica i know mii boss lady loo...          1
336     i really don t like this condition sucksssssss          0
337  orlando lost the series oh well maybe phoenix ...          0
338                                      rinitis sucks          0
339  thanks for being the bestttttttttttttttttttt j...          1
340  i m mad and sad right now played so terrible t...          0
341             but mustache man is not that desperate          0
342           my face because i m missing zoro tonight          0
343        i know huh im bout to cry thanks marco muah          0
344                                              angry          0
345                  praise god for this beautiful day          1
346                                 sry matt hear that          0
347                          what the fucccckkkkkkkkkk          0
348                                          bye world          0
349            i couldnt even have one fairytale night          0
350  i ll be working when pottercast lupins willows...          0
351  my cell phone screen is dead sooooooooooo no t...          0
352  no more sickness strike i say strike ohhhh wel...          0
353  nobody likes year one in the reviews i ve read...          0
354                                    must i say more          0
355                             old me s dead and gone          0
356   have to go now more minutes please please please          0
357  i love you guyssss those rings mmmyeahh bling ...          1
358                                      chance is boo          1
359  stones thank you very much for the dvd suggest...          1
360                          awwwww i really hate this          0
361                                            bad day          0
362  bad day damn you what kind of ticket sale was ...          0
363            boston globe could be shut down in days          0
364  bye guys i ma miss ya ll sooo sooo much but do...          0
365  can i have some followers i m so sad now that ...          0
366    couldn t bless d da mic w my bra s in music day          0
367                                        cry cry cry          0
368                                           f kn day          0
369                                          goodnight          0
370  grandma is very sick not doing well going to t...          0
371           had a wonderful day g d is grrrrrrrrreat          1
372  i am going to shed tears if the cavs have to g...          0
373  i am soooo sad at this point of night i d be c...          0
374                                 i hate you forever          0
375                           i have passed exam today          1
376                                        i missed it          0
377                      i still feel like a douchebag          0
378              i want to write a song i think i will          1
379  always thought time estimates should use value...          1
380                             creativity via twitter          1
381                  you tease i wanna hear the tracks          1
382                            never answering my im s          0
383           traveltips student safety in roughplaces          1
384  it s now fathers day and you haven t picked me...          0
385                                        what is fml          1
386  gotta love blip fm john mayer trio california ...          1
387             just in case you need some help w that          1
388                         im sure he d love that lol          1
389  on karl lagerfeld s twitter profile s lol hear...          1
390  is no longer in the cab to say i m heartbroken...          0
391                        songstress broke my twitter          0
392  is off clubbing must come over to sheffield so...          0
393  my avatar can t figure out what you people are...          1
394  is fulfilling my life s ambition go a jonas br...          0
395  what happened to movies anyway it s like holly...          1
396  just yelled at me for picking apple store over...          0
397                    whoops credit is due to rb d pk          1
398                 how not to exit a cessna skydiving          1
399  of me cats kittens died only days old too rip ...          0
400  week before the palm pre comes out and my cent...          0
401  chicken mcnuggets double cheeseburgers large f...          1
402              hrs on da phone lol dude is hilarious          0
403  th tweet breakfast everything bagel toasted w ...          1
404  gb of video to upload to utube o dam sony vega...          0
405  of the new footwear labeling norm is definitio...          0
406  a big angry spider was crawling in my blankeys...          0
407                          a blessed sunday everyone          1
408  a couple years of sickness all piled up to thi...          0
409                           a dog riding the bicycle          1
410  a fly just landed in my green chile stew i ve ...          0
411                  a problem shared is a buck passed          1
412  a just got the same handshake in her meeting v...          0
413                                             hitech          1
414                         jonah whats a tweet sharon          0
415    alice is beating be at my scooby doo board game          0
416     am quite tired can t wait till wwe at burswood          1
417  anyone have any advice on how to cope with a b...          0
418  arrrrrrrgggggggghhhhhhhh that s it all lines o...          0
419                        awake and ready for the day          1
420  being nasty in the studio with my woman go sle...          1
421                                   but i understand          0
422  cars being inspected today gonna cost me over ...          0
423                                           e is out          0
424                                  everythings wrong          0
425  exercise build muscle mass is only thing that ...          0
426  feeling ok for the first time in a few days th...          1
427                    found a new way to text him yey          1
428                     friends dying is just horrible          0
429                             going for a paddle moz          1
430  good nite i hope grandma visits my dreams agai...          1
431  goodbassplayer that is funny oilipo i hope the...          1
432                              he was the best there          0
433  hungover and craving chocolate omg how funny w...          0
434  i dont want my sister to leave me for the whol...          0
435  i hope everyone is at church so i can just go ...          0
436  i just spilt the last of my jordans cereal on ...          0
437                       i miss my family and friends          0
438       i see i missed the nectar sucking dirty talk          0
439  i want a freaking puppy now a cute little blac...          0
440                                 i want irissa back          0
441  i m glad diversity got through but what about ...          0
442  i m here to tell ya very yummy decided to go o...          1
443                                 i m out of nutella          0
444  is it rlly tht serious i m abt to go thru my f...          0
445           is listenin to my new fav band more amor          1
446  it is on environmental studies and driving me ...          0
447  i ve always seen bits pieces of shottas now i ...          0
448                       just another day in paradise          1
449    just found a bone in my chicken nugget not cool          0
450  like i said my back still fucking hurts and i ...          0
451                                           love you          1
452  my aunties dog is getting put down hes my dogs...          0
453  my head feels like its going to explode mmm wh...          0
454                            my head is killing meee          0
455  my name is amy i m only three my eyes are swol...          0
456  my picture with kris karmada is gone forever i...          0
457  confirmed missing air france flight has crashe...          0
458  about of my myspace comments are gone cause so...          0
459  about school it will all be over soon can t wa...          0
460  about to pop in a movie chill a bit get it inn...          1
461                                      about to swim          1
462  abt missing air france plane follow here for b...          0
463       afi are not at reading til sunday this sucks          0
464  after a crap night was looking forward to bein...          0
465  ah the postman didn t have my package what am ...          0
466                     ahh school on monday not ready          1
467      ahhh drizzy mr rogers you are indeed the best          1
468  airport express doesn t rock enough to allow w...          0
469  alistair s friends are all in the kitchen and ...          0
470                                    all day no play          0
471  all dressed up and no bicyclist for monday nit...          0
472  all i want is my ma in my arms that s all i wa...          0
473  all my friends are gone haley n katie camp par...          0
474  all nighter yeeeeeeeeeeeessshhhh what a nightm...          0
475                               all the small things          1
476  all those non robsten posts are making me sad ...          0
477                  allison didnt win she should have          0
478                               almost time to leave          0
479  already getting sleepy i really want to get my...          0
480  always a nice thing to wake up to yay p gosh i...          1
481                                         am excited          1
482                               am feelin very happy          1
483                               am i feeding the pig          1
484  am i losing my mind cause i wanna see my tc on...          0
485  am sad to say i didn t get my results today so...          0
486  an alarm clock is a device for waking up peopl...          1
487           and how can you mend a broken heart k kl          0
488  and i think that s why i felt really sick and ...          0
489  and i was just starting to get confident in my...          0
490  anoron reedcourty operaunite com webserver con...          1
491                                       another mins          0
492                                  another early day          0
493  another father s day weekend i don t get to sp...          0
494                  another friday night of rock band          1
495                     anticipating a tough day ahead          0
496  anyone know if ghostbusters is region free on ...          0
497  d a million making a difference i can t help b...          1
498                                                ove          0
499                                what s wrong wit it          0
500  alergic nose itchy and eyes burning hope it s ...          0
501                        and they keep on coming xox          0
502          another expensive weekend trip to the vet          0
503  are there any parties tonight im hella bored a...          0
504        but chilli prawns will make the pain better          0
505  daughter s beloved diabetic dwarf hamster died...          0
506                             dd has pinkeye not fun          0
507      farrah fawcett dies of cancer at abc news via          0
508                       feeling hopeless and useless          0
509                            forgot my lunch at home          0
510                     general motors sold hummer s s          0
511                  good morning all have a great day          1
512                                          goodnight          0
513  gooood night must prepare for tomorrows meetin...          0
514  great im bored at the moment and just have no ...          0
515                                 having a luvly day          1
516                                       he is so hot          1
517                                     hmm what to do          1
518  five guys locations closed after visit from em...          0
519    i am actually crying now because of sore throat          0
520  i feel irresponsible and sort of horrible mars...          0
521                i miss my brother i worry about him          0
522            i need to think of something else first          0
523                             i wanted julian to win          0
524                               iowa no in happy yea          1
525                              jus got some bad news          0
526                                      just got home          1
527                                          just mean          0
528  just saw sink into me the whole video on kerra...          1
529    limp bizkit rollin songstuckinmyheadwheniwokeup          0
530                                love save the empty          0
531                                    my camera broke          0
532                 my mom is the funniest person ever          1
533                                    my parents left          0
534  nadal is out french open now to my back up go ...          0
535  no ass beatings checked out playhouse in balti...          0
536                                            nothing          0
537  ok we ll talk about your boyfriends and stuff ...          0
538        pie seems to have quite a good appetite now          1
539  server problems motivating me to change hostin...          0
540                                        shakes head          0
541  shock loss to sparks bummer had a great game b...          0
542  some asshole got a hold of my email and signed...          0
543  someone just said ast least your pretty thanks...          0
544  myspace people can get really angry if i don t...          0
545   never get any photo comments on m space and more          0
546  nhl penguins red wings final red wings lead se...          1
547     no tickets in germany for the miley cyrus tour          0
548        photo shoot rained out oh well back to post          0
549  r i p young teke i miss you cuzin it has been ...          1
550  rip charles j the world is with one less fine ...          0
551  rsl was at the paley talk now i m even more de...          0
552             she is amazing bjork bachelorette lfyi          1
553                                           so bored          0
554                         so much for a good weekend          0
555                                          thank you          1
556  the hotel doesn t know where it is either that...          0
557  thelovelybones i plan on owning this don t jud...          0
558  this year million children from hunger related...          0
559  ticketsandpassports lmao your not a nerd i thi...          0
560  to all the mothers whose day may not be so hap...          0
561  today is not a good day but i guess laying aro...          0
562  went to maggie s bday party came home without ...          0
563        when will rb get an australian release date          0
564  my grandma just told me she thinks i m stupid ...          0
565                                      andyhurleyday          1
566                                               asot          1
567  betseyjohnson why are you doing this to me thi...          0
568                                       followfriday          1
569  imisscath imisscath imisscath imisscath imissc...          0
570  mcflyforgermany mcflyforgermany mcflyforgerman...          1
571     p wimax no signal detected here at the gardens          0
572                                            trackle          0
573                          that was then this is now          1
574   this pic if u want more tell me cause i got more          1
575                  my expression watching this again          1
576                         beach ball fail v lol fail          0
577  i m a freelance writer for braille porn and a ...          1
578       im in love and i don t care who knows it elf          1
579                    it s raining again c supertramp          0
580  y must people insist on talking about stupid p...          1
581                        you have to do it all alone          0
582  apparently the new is the same build as the gm...          0
583  archie s annoying me this morning says i hogge...          0
584                                         are you ok          0
585  argh the speakers on my macbook are screwing u...          0
586                               as simple as it gets          1
587  at chris brown i honestly dont feel bad for ri...          0
588                                      at last night          0
589  at my tweets lady saying goodnite tweets later...          1
590  at the nursery the wailing have just ended all...          1
591  at the random mention about core deals that ar...          1
592                                       at work fuck          0
593  at work and got loads to do b i leave today to...          0
594  attempting to get other people on twitter othe...          0
595               aw toy story is coming out next year          0
596  awake finally random dream i was a penguin but...          1
597                                            awesome          0
598                        awesome black coffee anyone          1
599                     aww great song picture to burn          1
600                             aww i gota do homework          0
601         aww someone borrowed it without telling me          0
602  awww derek is at work back to making kandie wi...          0
603  b in genetics so that s a towards my gpa what ...          0
604                           baby died last night day          0
605  baby girl s so upset i m not where i need to b...          0
606  baby sitting today shopping tomorrow rue is th...          1
607  baby you like my favorite dessert i just can n...          1
608                     back from cali missing itttttt          0
609                                          back pain          0
610                                     back to basics          1
611       bad day day broken glasses rainy weather uof          0
612                             bad night for the pens          0
613  bad timing a new mommy just called for newborn...          0
614  bahahaha me and jodie burst out doing kevin s ...          1
615                           bank account is negative          0
616                 bas one last time update my status          1
617                                           baseball          1
618                  bcd s closed i guess nodaji it is          0
619  bed i gotta get up early only more days of thi...          0
620                                           bed time          0
621        bedss gayyyy oh well goodnight people and d          0
622        been up for days straight lol i never sleep          1
623   being afraid of food is an eating disorder right          0
624  being told im beautiful doesnt make my tummy b...          0
625  besides that great graduation day i finaly mad...          0
626  still no phone bukas pa raw in the afternoon o...          0
627                                    such a nice day          1
628   summertime by dj jazzy jeff and the fresh prince          1
629   the iphone will be out of commission for a while          0
630                              the weather is lushhh          1
631  things are not good in my head i may not be ar...          0
632           third date went well moving on to fourth          1
633  to the death an awesome random comic for the c...          1
634  try and enjoy ur family i am here if i need an...          0
635                                           twilight          1
636     twitter wont let me send replies today boo hoo          0
637                                      two more days          1
638                                              ughhh          0
639            uva baseball come on boys you can do it          0
640                        water works are gonna start          0
641  well i wrote a missive post about last night a...          0
642  well i guess i knew it was going to break some...          0
643                 what canadians have to be proud of          1
644                                  why is it raining          0
645                                             why me          0
646                                          xd go day          1
647  yay for star testing week i start school at am...          1
648  hello world this is where i live beautiful am ...          1
649  shortstack tokiohotel shortstack tokiohotel sh...          1
650  squaresp squarespac squarespace trackle giveaw...          0
651                                               free          1
652                                  that s me smiling          1
653  you were asleep while i gathered my things in ...          0
654  bbc news uk maps climate change forecasts the ...          0
655  i m giving up on you i don t care how you mess...          0
656  meteorologists predict chilly rainy midsummer ...          0
657  nintendo dsi portable game system what will yo...          1
658  promote my site getting to the front page and ...          1
659  the universe is a living being and it s consci...          1
660        the world makes music for people who listen          1
661      will digg s new share feature pollute twitter          1
662           angry mixed motions but soo frustrated x          0
663                                       mood i am in          0
664  exited i just bought some oreos i hope everyon...          1
665                                               hugs          0
666                                   sends you e hugs          0
667                                               tear          0
668  cries i m so depressed thanks to you my angel ...          0
669  on my way to the doctors with my duo my ass ha...          0
670                                 sob must be in bed          0
671                       wishes she was at summer jam          0
672  school grrr im not in the mood to take my make...          0
673                     babbbbbbbbyy i missed you much          1
674                                     sunday is over          0
675  well then you gon have to stop w that idc shit...          1
676     why the jonas are bad with us come to paraguay          0
677                                      its jonas day          1
678  ughh anybody wanna come to my house and cook m...          0
679                            i don t know what to do          0
680                   i think i lost my spanish book x          0
681  life can be so complicated i know god has a pl...          0
682  oh well at least suzumiya haruhi no yuuutsu is...          0
683               not really a good night guys buu huu          0
684  i did not get cast in but i will keep looking ...          0
685  the ground around me is wet i looked up to see...          0
686  i forgot to bring my new sharpie pens to schoo...          0
687  omg my celly is off this hasn t happened to me...          0
688                      the last gadget geek and poke          1
689                                this is so horrible          0
690   where ius that one person that can make me smile          0
691             s this tweetdeck is killing me hate it          0
692                          july flowers july holiday          1
693                                last fm not working          0
694                           finally got twitter haha          1
695                                                NaN          1
696  b loved i think there may be a connection betw...          1
697  saw that earlier can t even comprehend what th...          0
698  temperature is down but the pain is still bad ...          1
699                said i tweets less these days so hi          1
700  would love to see you guys sometime grin and a...          1
701  i hope it s not actually on here birthday that...          0
702  s signature has rubbed off my mondayeyes brace...          0
703                                    to all you d qo          1
704  what happened while i was gone anybody get arr...          1
705  i ll know if u can t find a replacement me i l...          1
706  seeing a guy dressed up as a banana totally ma...          1
707           yep coz of the england game on wednesday          1
708                          alllllan ruins my lifeeee          0
709                           d there s my boo blushes          1
710                          byyeee ily jamarcusssssss          1
711  i was want to buy the sims but it sold out wtf...          0
712       you aint gotta apologize i know i m not ugly          1
713                                               just          0
714  yep i have things my way all the time i am sel...          0
715  i don t wanna get rid of twitter you guys are ...          0
716  i try i try so hard and i seem to get no credi...          0
717  wide awake but dont actually wanna go to schoo...          0
718                                    dream beautiful          0
719                         now only have one roommate          0
720  im givin myself minutes to turn that frown ups...          0
721                   i cant even say a word right now          0
722  why am i so sad becuz of u or becuz of the exa...          0
723                                         frustrated          0
724  and i feel a shallow breath that squeezes past...          0
725  just found out that a friend from my childhood...          0
726                                still in the office          0
727                                        that is all          1
728  sniffles since i dont get to leave this fuckin...          0
729                                 i feel so left out          0
730  sigh we didnt win the contest stupid popularit...          0
731  noooo why things are so complicated if i spelt...          0
732  noooo why things are so complicated if i spelt...          0
733                          butterfly day jun holiday          1
734                                 what does it means          1
735                          jfk international airport          0
736              jonas brothers youtube bein suspended          0
737  moval court a traffic ticket i should b sleepi...          0
738  work only hours of it today and then weeeekend...          1
739  praying for my cold to go to my head because a...          1
740  created from the realms of light pure love com...          1
741  the music was so quiet that he was sure there ...          1
742               atx sold out of frozen bananas today          0
743                i have no car to come to you either          0
744                              has disappeared again          0
745  oi tell your daughter to lower her ticket pric...          0
746  belle lol cat i m a huge fan also the more i t...          0
747  speaking as a historian wtf do you incorporate...          1
748  farrah fawcett star of charlie s angels has di...          0
749  yes before the show i suggested that we ought ...          1
750  dear hyper chihuahua we only have minutes left...          1
751  washington capitals would be one of myweakness...          1
752  looking fwd to a twitpic of selma soon cool na...          1
753                                                NaN          0
754    yea i really wanna see a win for him at daytona          1
755                                    great to follow          1
756  aww i m sorry bae u kno i be grindin d but i g...          1
757  hey you how long will you be on thx hehehe yw ...          0
758  k nobody told me violent femmes covered gnarls...          1
759  unfortunately i m coming from nj the boonies i...          0
760  all gigs this weekend have been cancelled so i...          0
761  started working on a warm fluffy fart tweet be...          1
762                   news google getting twitterpated          1
763                                  is mad at me fail          0
764                                     lol nooooooooo          1
765  i just played ur joint two songs ago everyone ...          0
766                    i can t get excited about conan          0
767    thanx for the post the warm wishes enjoy ur day          1
768                                      youu welcomee          1
769  if thru the miracle of modern science bruce an...          1
770           stopped talking to me i should stalk her          0
771  you ll be pleased to know i did not have a nic...          0
772  now try sex in bing deactivate safe search and...          1
773                         toolio has court on the th          0
